file,sub,enum_correct,enum_attempted,soniox_correct,soniox_attempted,engine,machine_correct,machine_attempted,item_agree,n_items,status,enum_correct_29s,soniox_correct_29s
AA_68b78def-9aaa-4e3,orf_eng,8.0,12.0,7,59,speechace-29s,6,32,0.34375,32,200,35,7
AA_69691a12-deef-4dd,idwrd_eng,5.0,13.0,0,49,speechace-29s,4,49,0.6938775510204082,49,200,13,0
AA_69691a12-deef-4dd,orf_eng,1.0,6.0,6,59,speechace-29s,4,16,0.4375,16,200,54,5
AA_6b23e6a2-c3d5-475,idwrd_eng,0.0,5.0,4,49,speechace-29s,6,28,0.32142857142857145,28,200,44,4
AA_6d4a8671-522e-4cc,orf_eng,52.0,59.0,27,59,speechace-29s,5,21,0.23809523809523808,21,200,53,10
AA_6f02809d-d960-4d3,idwrd_eng,43.0,46.0,0,49,speechace-29s,1,12,0.08333333333333333,12,200,44,2
AA_6f2e975a-3208-448,idwrd_eng,4.0,9.0,5,49,speechace-29s,7,49,0.4489795918367347,49,200,30,5
AA_6f2e975a-3208-448,orf_eng,0.0,5.0,5,59,speechace-29s,9,24,0.5,24,200,54,5
AA_731980f2-fda7-482,orf_eng,0.0,5.0,1,59,speechace-29s,4,17,0.29411764705882354,17,200,54,0
AA_75469b92-e2a1-44e,idwrd_eng,4.0,7.0,0,49,speechace-29s,3,20,0.65,20,200,37,0
AA_788dfa6a-d7ba-413,idwrd_eng,45.0,50.0,44,49,speechace-29s,25,40,0.65,40,200,37,37
AA_788dfa6a-d7ba-413,orf_eng,53.0,60.0,55,59,speechace-29s,20,43,0.4883720930232558,43,200,41,36
AA_7ad7b97a-d69d-416,idwrd_eng,0.0,5.0,1,49,speechace-29s,5,14,0.42857142857142855,14,200,44,1
AA_7ad7b97a-d69d-416,orf_eng,1.0,6.0,4,59,speechace-29s,4,16,0.4375,16,200,54,4
AA_7e082938-042e-46a,idwrd_eng,50.0,50.0,1,49,speechace-29s,3,8,0.375,8,200,49,0
AA_7e082938-042e-46a,orf_eng,52.0,60.0,6,59,speechace-29s,1,15,0.2,15,200,54,4
AA_7e0f11d6-0031-492,idwrd_eng,6.0,12.0,0,49,speechace-29s,7,49,0.3877551020408163,49,200,33,0
AA_7e0f11d6-0031-492,orf_eng,9.0,13.0,5,59,speechace-29s,5,14,0.5,14,200,46,4
AA_7f61eb3f-65c7-4fd,idwrd_eng,25.0,36.0,6,49,speechace-29s,2,7,0.2857142857142857,7,200,7,6
AA_8013413a-f6a1-4ac,idwrd_eng,0.0,5.0,0,49,speechace-29s,12,49,0.30612244897959184,49,200,44,0
AA_86da0dbc-4ece-4ee,idwrd_eng,22.0,26.0,0,49,speechace-29s,9,49,0.3673469387755102,49,200,34,0
AA_87731df7-f734-4ff,idwrd_eng,0.0,5.0,0,49,speechace-29s,1,10,0.6,10,200,44,0
AA_87731df7-f734-4ff,orf_eng,1.0,6.0,4,59,speechace-29s,2,15,0.3333333333333333,15,200,54,4
AA_89cb8f1a-69e3-424,idwrd_eng,0.0,5.0,0,49,speechace-29s,2,11,0.45454545454545453,11,200,44,0
AA_8c934dfb-1a72-492,idwrd_eng,1.0,5.0,1,49,speechace-29s,1,10,0.5,10,200,45,1
AA_8e03896a-2912-496,idwrd_eng,3.0,15.0,0,49,speechace-29s,5,34,0.7941176470588235,34,200,18,0
AA_8e03896a-2912-496,orf_eng,0.0,5.0,3,59,speechace-29s,4,15,0.2,15,200,54,3
AA_8e29defb-2c2e-496,idwrd_eng,9.0,26.0,5,6,speechace-29s,2,6,0.3333333333333333,6,200,6,5
